name,country,lat,lon,website,main_contact,start_date,end_date,short_description
"European Climate and Energy Modelling Forum",Sweden,60.1282,18.6435,http://ecemf.eu,Will Usher,01/05/2021,31/04/2025,"A European Project"
"Climate Compatible Growth",United Kingdom,55.3781,3.4360,https://climatecompatiblegrowth.com/,Mark Howells,01/05/2021,31/04/2025,"Another European Project"
